time,latitude,longitude,depth,mag
2017-07-01T08:10:33.340Z,46.5239,7.0043,1.59,4.1
2017-07-01T19:17:26.920Z,42.6702,13.2814,5.1,4.3
2017-07-01T23:55:24.410Z,35.0483,26.6026,10.0,4.1
2017-07-02T09:39:09.390Z,41.1119,20.9414,10.0,4.2
2017-07-03T01:54:12.330Z,41.1896,20.9651,10.0,3.4
2017-07-03T11:18:20.360Z,41.1555,20.9338,10.0,4.8
2017-07-03T13:53:45.100Z,35.0915,26.6299,10.0,4.5
2017-07-03T18:03:24.560Z,41.1516,20.8914,10.0,4.2
2017-07-03T18:30:12.770Z,41.1174,20.8171,10.0,4.2
2017-07-03T21:34:15.590Z,41.1192,20.8797,10.0,2.9
2017-07-04T22:05:15.480Z,41.1764,20.8722,2.9,4.1
2017-07-07T22:04:12.940Z,41.1637,20.8742,10.0,4.2
2017-07-07T22:54:33.610Z,41.1354,20.8281,10.0,4.1
2017-07-08T10:42:50.160Z,35.9107,-1.6313,10.0,4.3
2017-07-08T19:31:34.000Z,41.174,20.8982,4.5,4.1
2017-07-08T20:52:59.410Z,41.1457,20.9098,10.0,4.0
2017-07-10T00:51:22.320Z,37.4736,-22.6995,10.0,3.9
2017-07-10T21:54:12.600Z,35.3875,22.4834,55.33,4.1
2017-07-11T03:18:19.340Z,35.8088,-1.6856,10.0,4.8
2017-07-12T21:36:31.510Z,37.949,20.549,10.0,4.0
2017-07-12T22:19:54.290Z,41.1769,20.8736,10.0,4.2
2017-07-14T10:39:14.870Z,38.4295,21.926,10.0,4.2
2017-07-15T01:22:04.560Z,38.4012,22.0177,10.0,4.6
2017-07-15T03:05:14.980Z,38.4328,22.0518,8.57,4.4
2017-07-15T21:06:05.260Z,35.0128,25.3652,10.0,4.2
2017-07-20T07:15:47.110Z,38.4591,21.9462,10.0,4.2
2017-07-20T22:31:11.260Z,36.9293,27.4139,7.0,6.6
2017-07-20T22:52:59.330Z,36.8461,27.411,10.0,4.4
2017-07-20T23:00:45.440Z,36.9197,27.4847,10.0,4.3
2017-07-20T23:23:51.780Z,36.9482,27.2653,10.0,4.7
2017-07-21T00:33:35.630Z,36.8203,27.6099,10.0,4.0
2017-07-21T00:53:49.560Z,36.8457,27.4229,10.0,4.0
2017-07-21T01:25:35.320Z,36.8935,27.3907,10.0,4.1
2017-07-21T01:35:45.430Z,36.8752,27.5931,10.0,4.4
2017-07-21T01:38:49.930Z,36.8561,27.5779,10.0,4.6
2017-07-21T01:50:31.370Z,36.8652,27.2963,10.0,4.1
2017-07-21T01:54:47.990Z,36.8703,27.3881,10.0,4.0
2017-07-21T01:56:28.360Z,36.927,27.5833,10.0,4.1
2017-07-21T02:12:35.180Z,36.8031,27.345,10.0,4.7
2017-07-21T03:59:02.750Z,36.8034,27.5928,10.0,4.1
2017-07-21T04:39:24.840Z,36.8614,27.5826,10.0,4.1
2017-07-21T05:04:01.580Z,36.8233,27.64,13.76,4.2
2017-07-21T05:13:59.950Z,36.8336,27.613,10.0,4.2
2017-07-21T09:55:55.250Z,36.9114,27.7897,10.0,4.1
2017-07-21T16:55:24.580Z,36.9421,27.3782,10.0,4.0
2017-07-21T17:09:45.290Z,36.9074,27.3012,10.0,5.0
2017-07-21T20:46:51.860Z,35.3586,27.8975,20.14,4.1
2017-07-22T02:05:23.170Z,35.2867,25.6111,33.09,4.1
2017-07-22T02:13:08.860Z,42.6433,13.3183,6.67,4.2
2017-07-22T17:09:21.510Z,36.96,27.3417,10.0,4.7
2017-07-22T17:25:45.970Z,36.5915,26.7742,140.82,4.6
2017-07-22T22:12:32.970Z,40.1102,27.1829,6.72,4.1
2017-07-23T23:18:31.570Z,36.8506,27.5922,10.0,4.3
2017-07-26T22:16:00.230Z,63.5577,-19.3782,10.0,4.1
2017-07-26T22:18:14.820Z,63.6293,-19.0846,10.0,4.4
2017-07-29T23:08:46.160Z,36.8263,27.3427,18.51,4.1
2017-07-30T07:02:15.390Z,36.9598,27.608,10.0,4.1
2017-07-30T17:51:19.350Z,36.969,27.6533,10.0,4.4
2017-07-31T16:25:37.290Z,36.849,27.481,11.66,4.2
2017-07-31T23:16:54.930Z,36.9555,-3.6339,10.0,3.9
