time,latitude,longitude,depth,mag
2016-08-01T03:48:49.390Z,36.09,-7.8299,10.0,4.1
2016-08-02T19:30:53.620Z,40.3368,33.3082,10.0,4.0
2016-08-06T05:17:02.430Z,40.6532,23.4108,10.05,4.2
2016-08-07T08:15:05.480Z,47.0666,37.5923,10.0,4.8
2016-08-07T16:08:18.660Z,35.2854,31.6249,41.05,4.1
2016-08-09T02:46:13.640Z,73.4664,7.6836,10.0,4.4
2016-08-11T09:24:27.660Z,36.5922,-12.6626,10.0,4.7
2016-08-13T06:19:41.520Z,71.5031,-3.7829,10.0,4.3
2016-08-13T12:00:57.280Z,51.5615,16.1243,5.0,4.7
2016-08-13T13:36:29.020Z,35.0952,27.0396,18.47,4.1
2016-08-17T01:07:06.120Z,38.629,38.0224,11.88,4.0
2016-08-18T07:32:34.910Z,73.2627,6.3674,10.0,4.5
2016-08-19T11:44:17.330Z,39.2571,-10.3502,10.0,4.4
2016-08-24T01:36:32.870Z,42.723,13.1877,4.44,6.2
2016-08-24T01:56:01.940Z,42.6404,13.1986,10.0,4.6
2016-08-24T02:01:08.920Z,42.7856,13.1447,7.78,4.2
2016-08-24T02:05:55.920Z,42.6352,13.3022,10.72,4.1
2016-08-24T02:07:31.090Z,42.6243,13.1756,2.84,4.2
2016-08-24T02:19:44.230Z,42.6817,13.1667,4.07,4.0
2016-08-24T02:33:29.450Z,42.8413,13.1533,3.25,5.6
2016-08-24T02:51:27.630Z,42.7596,13.1812,7.15,4.1
2016-08-24T02:59:36.000Z,42.8104,13.1056,6.87,4.1
2016-08-24T03:40:11.230Z,42.6522,13.2549,6.12,4.2
2016-08-24T04:06:51.710Z,42.7959,13.0745,2.61,4.5
2016-08-24T11:50:31.500Z,42.8989,13.0834,10.0,4.6
2016-08-24T14:02:22.430Z,42.7989,13.1462,10.0,4.3
2016-08-24T17:46:11.210Z,42.7279,13.2082,10.0,4.3
2016-08-24T23:22:06.630Z,42.6589,13.1775,5.14,4.1
2016-08-25T00:28:25.870Z,36.2488,28.4499,58.73,3.8
2016-08-25T01:33:27.200Z,36.5511,-11.2826,10.0,4.1
2016-08-25T03:17:16.580Z,42.7611,13.214,10.0,4.4
2016-08-25T04:51:41.020Z,42.6397,13.2478,9.54,4.2
2016-08-25T12:36:07.180Z,42.6654,13.1732,10.0,4.4
2016-08-26T04:28:25.890Z,42.6,13.29,11.0,4.8
2016-08-26T13:37:33.450Z,38.5878,24.5574,13.13,4.2
2016-08-27T02:50:59.260Z,42.8608,13.2683,4.46,4.1
2016-08-28T13:07:34.500Z,42.6665,13.2488,11.65,4.3
2016-08-28T15:55:35.710Z,42.7975,13.1733,2.46,4.2
2016-08-28T16:42:02.320Z,42.8814,13.102,3.55,4.3
2016-08-29T01:44:25.000Z,42.76,13.19,10.0,3.5
2016-08-29T01:47:02.000Z,63.653,-19.089,3.8,4.5
2016-08-30T10:44:57.210Z,36.0656,20.9341,33.45,4.3
2016-08-31T18:12:52.620Z,42.8627,13.2213,2.83,4.1
2016-08-31T19:02:15.760Z,36.2521,-5.4085,5.8,3.8
2016-08-31T22:20:53.140Z,41.3159,20.3598,3.47,4.4
