time,latitude,longitude,depth,mag
2018-04-01T11:11:01.000Z,51.174,-0.257,5.0,2.7
2018-04-02T09:46:32.520Z,35.3946,26.5111,10.0,4.3
2018-04-03T10:24:58.180Z,36.4442,25.377,10.0,4.2
2018-04-04T02:19:46.410Z,43.0547,13.0039,10.0,4.1
2018-04-04T18:41:29.410Z,43.0224,13.0201,10.0,4.0
2018-04-07T21:16:33.030Z,40.8428,31.631,10.0,4.7
2018-04-08T14:23:26.190Z,37.9004,20.529,10.0,4.3
2018-04-08T14:37:33.930Z,39.2221,19.9557,37.18,4.3
2018-04-10T03:11:31.890Z,43.0662,13.0516,10.0,4.7
2018-04-10T11:42:22.830Z,40.5786,24.1604,10.0,4.1
2018-04-10T13:17:07.560Z,40.2615,19.4481,13.75,4.1
2018-04-10T15:56:19.220Z,36.6591,26.1356,10.8,4.9
2018-04-12T03:52:19.740Z,73.8863,8.3419,10.0,4.4
2018-04-12T03:52:34.400Z,74.0179,9.1065,10.0,4.5
2018-04-13T17:14:00.680Z,37.158,31.9355,10.0,4.8
2018-04-13T17:55:48.010Z,37.0957,31.9506,10.0,4.2
2018-04-16T14:12:21.600Z,37.0993,31.9276,10.0,4.3
2018-04-18T14:32:17.400Z,35.5129,23.3656,10.0,4.5
2018-04-20T12:20:13.830Z,36.818,27.4073,35.0,4.2
2018-04-21T00:20:06.340Z,39.9731,23.6498,10.0,4.9
2018-04-21T01:34:42.040Z,39.9205,23.7829,13.09,4.0
2018-04-23T07:41:31.330Z,37.4714,20.5371,10.0,4.6
2018-04-23T08:55:17.480Z,50.4512,18.7624,9.19,3.9
2018-04-23T15:48:52.860Z,36.0172,0.0472,8.04,4.7
2018-04-24T00:34:31.180Z,37.5963,38.5142,10.0,5.2
2018-04-24T11:11:27.450Z,37.4027,20.5076,10.0,4.4
2018-04-24T18:53:35.260Z,35.7679,27.9076,56.73,4.3
2018-04-24T20:47:37.420Z,44.9931,37.5591,10.0,4.2
2018-04-25T00:06:56.610Z,70.8587,-6.3131,10.0,5.1
2018-04-25T09:48:42.940Z,41.9053,14.8129,10.0,4.3
2018-04-25T11:17:25.410Z,36.7397,23.733,91.15,4.2
2018-04-25T17:15:48.570Z,45.6334,26.3385,149.17,4.7
2018-04-26T03:33:53.490Z,37.1445,-11.1073,10.0,4.2
2018-04-26T11:13:20.590Z,36.5557,-5.4109,10.0,4.0
2018-04-26T11:37:43.430Z,37.784,29.4094,10.0,4.1
