time,latitude,longitude,depth,mag
2018-01-01T22:13:52.180Z,41.192,22.8689,10.0,4.4
2018-01-01T22:16:12.720Z,41.1878,22.8614,10.0,4.0
2018-01-02T04:24:17.760Z,41.2843,22.8346,11.84,4.9
2018-01-02T17:36:34.060Z,41.2591,22.8366,11.19,4.3
2018-01-02T20:59:37.860Z,36.3828,2.5471,8.26,4.7
2018-01-04T00:15:16.200Z,38.0394,20.3042,10.0,4.1
2018-01-04T10:46:11.670Z,42.6601,19.8624,10.0,5.1
2018-01-05T04:33:19.040Z,37.0711,28.6545,6.86,4.2
2018-01-07T16:55:59.120Z,37.1718,20.2119,28.49,4.3
2018-01-08T16:20:11.560Z,36.4956,2.4881,10.0,4.5
2018-01-11T04:52:09.770Z,35.7805,21.906,20.37,4.6
2018-01-13T21:31:15.770Z,36.9303,27.5716,10.0,4.2
2018-01-15T11:51:38.450Z,38.792,-7.9574,10.93,4.1
2018-01-15T19:27:19.690Z,37.8299,22.0354,10.0,4.4
2018-01-15T20:24:14.770Z,38.2001,23.9352,10.0,4.3
2018-01-17T19:07:19.240Z,47.1697,9.938,10.0,4.0
2018-01-18T15:34:02.640Z,71.7004,-1.7754,10.0,4.2
2018-01-18T15:44:34.660Z,71.6555,-1.5497,10.0,4.2
2018-01-19T10:10:06.860Z,37.5583,23.809,133.92,4.4
2018-01-19T13:53:16.250Z,38.1445,38.8277,14.67,4.2
2018-01-20T20:20:34.240Z,35.9197,30.0056,44.18,4.0
2018-01-23T12:44:09.310Z,37.7504,20.2078,23.91,4.0
2018-01-23T23:14:01.500Z,35.1069,23.1995,10.0,4.6
2018-01-26T22:09:23.410Z,35.9019,24.0503,76.24,4.2
2018-01-28T14:48:32.760Z,37.2353,23.7756,10.0,4.5
2018-01-28T23:17:38.300Z,39.7813,20.6075,10.0,4.0
2018-01-30T04:45:53.590Z,42.0168,19.1004,5.0,3.2
2018-01-30T19:24:20.500Z,64.6691,-17.2917,10.0,5.0
