time,latitude,longitude,depth,mag
2016-06-01T22:34:19.910Z,36.3739,3.4242,10.0,4.0
2016-06-02T10:49:12.940Z,36.5748,11.1289,16.0,4.0
2016-06-04T02:22:58.470Z,35.4542,31.587,26.62,4.1
2016-06-04T02:56:42.120Z,35.5428,26.5208,10.0,4.0
2016-06-04T16:38:26.910Z,38.1924,20.307,20.64,4.9
2016-06-05T20:26:19.210Z,38.6092,26.702,17.0,4.2
2016-06-06T15:09:27.940Z,35.4342,31.6157,19.68,4.1
2016-06-07T04:09:45.810Z,40.2627,29.146,11.5,4.4
2016-06-09T02:05:40.060Z,44.4626,21.6239,2.0,4.2
2016-06-11T08:29:46.300Z,39.228,23.739,12.4,4.1
2016-06-11T22:57:55.250Z,36.6382,2.3311,10.0,4.1
2016-06-11T23:58:40.800Z,36.4002,3.4497,10.0,4.0
2016-06-19T17:27:36.400Z,47.2669,-0.6721,10.0,3.5
2016-06-19T19:17:52.050Z,35.6257,26.5554,19.13,4.3
2016-06-23T14:37:56.680Z,44.0943,9.9234,10.14,4.2
2016-06-24T23:16:35.300Z,36.8973,-23.9979,10.0,4.7
2016-06-25T05:40:11.000Z,40.7032,29.2147,6.8,4.1
2016-06-28T11:03:48.700Z,39.816,21.156,1.0,4.3
2016-06-30T04:38:30.910Z,37.5026,-16.3729,12.99,4.3
