time,latitude,longitude,depth,mag
2016-09-01T04:07:53.980Z,38.4603,20.591,12.7,4.2
2016-09-03T01:34:13.130Z,42.831,13.0956,4.52,4.4
2016-09-03T06:55:37.250Z,71.0184,-7.5587,10.0,5.0
2016-09-03T10:18:51.190Z,42.87,13.21,9.0,4.4
2016-09-04T18:15:41.610Z,39.3015,36.3162,5.0,3.8
2016-09-05T17:11:14.400Z,36.2312,21.2122,0.0,4.5
2016-09-06T05:27:27.370Z,36.2549,28.239,56.89,4.1
2016-09-09T17:24:20.990Z,36.8658,25.6026,174.95,4.6
2016-09-11T04:58:01.010Z,42.0,21.51,3.7,4.0
2016-09-11T13:10:08.070Z,42.0081,21.4876,13.2,5.1
2016-09-11T18:39:02.570Z,42.68,13.28,10.0,4.0
2016-09-12T08:26:04.930Z,38.901,27.747,10.0,4.5
2016-09-12T09:29:38.490Z,38.8686,27.7178,10.0,4.3
2016-09-12T10:05:36.680Z,38.8007,27.7023,10.0,4.2
2016-09-12T12:19:05.710Z,42.02,21.49,1.6,3.7
2016-09-12T17:53:54.790Z,41.993,21.4464,16.23,3.8
2016-09-13T06:14:51.150Z,37.7297,21.1039,10.0,4.6
2016-09-13T23:32:28.630Z,42.03,21.47,3.2,3.1
2016-09-14T02:20:03.390Z,37.8903,20.1525,10.0,4.5
2016-09-16T06:55:14.000Z,38.879,23.349,1.7,4.0
2016-09-19T03:59:47.710Z,38.2092,20.3479,24.02,4.3
2016-09-19T23:34:26.550Z,42.7166,13.1893,6.87,4.1
2016-09-21T18:08:10.270Z,35.1678,31.5595,18.7,4.0
2016-09-22T07:08:54.930Z,70.2608,-15.1457,10.0,4.4
2016-09-22T08:22:45.000Z,36.47,22.07,30.0,3.9
2016-09-23T23:11:20.810Z,45.7275,26.6097,92.0,5.6
2016-09-26T13:31:46.240Z,63.7045,-19.2327,10.0,4.1
2016-09-27T17:53:01.910Z,39.0404,22.2902,10.0,4.2
2016-09-27T20:57:08.120Z,36.3888,27.6141,85.2,5.1
2016-09-28T07:17:35.820Z,36.7738,21.912,46.53,5.0
2016-09-28T09:10:08.810Z,37.9398,29.1875,10.0,4.2
2016-09-29T01:17:36.000Z,39.53,24.1,30.0,4.2
