time,latitude,longitude,depth,mag
2016-11-01T07:56:39.600Z,43.0,13.16,10.0,4.9
2016-11-01T18:58:20.670Z,36.4146,26.3752,122.26,4.4
2016-11-01T19:03:21.080Z,42.8236,12.9874,8.62,4.4
2016-11-02T07:39:04.130Z,73.0263,5.959,10.0,4.6
2016-11-02T11:57:44.060Z,40.7952,34.2094,10.0,4.3
2016-11-02T19:13:25.490Z,35.6091,21.5785,29.7,4.2
2016-11-02T19:37:49.750Z,42.88,13.07,8.0,4.3
2016-11-02T22:24:04.320Z,73.0726,5.7941,10.0,4.3
2016-11-03T00:35:02.610Z,43.0383,13.0143,10.0,4.8
2016-11-04T05:08:53.090Z,41.8563,19.891,9.22,4.3
2016-11-05T20:43:24.450Z,35.9323,4.0112,10.0,4.2
2016-11-05T21:29:11.140Z,42.73,13.19,8.0,4.0
2016-11-07T18:56:16.960Z,42.89,13.15,13.0,4.3
2016-11-08T12:54:36.000Z,35.379,27.338,6.8,4.0
2016-11-09T15:58:44.000Z,42.8375,18.4742,19.93,4.4
2016-11-10T12:12:43.710Z,41.0713,22.6802,10.0,4.9
2016-11-12T14:43:33.780Z,42.72,13.21,10.0,4.1
2016-11-12T22:32:23.570Z,42.796,13.139,9.8,4.4
2016-11-14T01:33:44.760Z,42.8522,13.1055,10.0,4.2
2016-11-14T02:34:40.740Z,35.1821,25.0128,42.69,4.0
2016-11-14T19:49:52.140Z,42.94,13.15,10.0,4.1
2016-11-15T18:57:54.570Z,37.6928,20.8752,43.76,4.0
2016-11-16T09:15:15.020Z,41.0213,22.6836,10.0,4.2
2016-11-17T20:23:31.200Z,39.7607,20.7267,7.5,3.9
2016-11-18T23:22:48.600Z,41.0215,22.711,10.0,4.7
2016-11-23T00:01:30.220Z,35.4244,26.4485,42.48,4.2
2016-11-23T15:28:28.540Z,38.2507,-0.877,10.8,3.0
2016-11-28T05:22:09.100Z,39.829,19.7499,14.9,4.4
2016-11-29T16:14:03.240Z,42.5589,13.247,4.39,4.4
2016-11-29T20:09:39.350Z,51.6128,16.157,5.0,4.2
2016-11-30T05:52:55.440Z,44.7421,10.6322,23.83,3.7
