time,latitude,longitude,depth,mag
2016-01-01T09:11:14.070Z,40.053,30.527,5.0,4.1
2016-01-02T12:36:28.560Z,36.4556,12.1175,23.16,4.3
2016-01-03T02:01:43.960Z,71.3949,-3.751,10.0,4.6
2016-01-04T02:58:23.080Z,36.4613,26.9641,137.29,4.4
2016-01-04T07:21:45.100Z,38.32,20.4,15.0,4.5
2016-01-04T13:36:02.110Z,35.4766,23.1981,27.37,4.0
2016-01-04T18:00:55.060Z,38.6037,20.5917,14.1,4.7
2016-01-05T23:11:49.840Z,36.4972,26.8093,139.76,4.2
2016-01-06T18:44:46.570Z,39.9354,15.5508,272.45,4.4
2016-01-08T13:07:42.250Z,42.9131,18.5153,26.73,4.6
2016-01-10T17:40:49.510Z,39.5649,34.3373,10.0,5.0
2016-01-13T17:01:29.490Z,36.1699,14.7607,9.91,4.1
2016-01-16T18:51:18.620Z,35.5479,31.3577,36.33,4.0
2016-01-16T18:55:11.470Z,41.5846,14.6515,5.4,4.4
2016-01-17T16:36:07.040Z,36.5834,12.8374,10.0,4.2
2016-01-19T19:04:42.610Z,36.6349,26.9684,141.51,4.7
2016-01-21T13:47:19.860Z,35.6247,-3.6499,10.0,5.1
2016-01-23T04:00:45.450Z,36.6461,29.5691,10.0,4.2
2016-01-23T13:02:17.070Z,71.6745,-2.4824,10.0,4.5
2016-01-25T04:22:02.730Z,35.6493,-3.6818,12.0,6.3
2016-01-25T04:30:55.190Z,35.5953,-3.8166,10.0,5.0
2016-01-25T04:34:19.170Z,35.6805,-3.723,10.0,5.3
2016-01-25T05:03:46.300Z,35.6749,-3.7449,10.0,4.7
2016-01-25T05:37:11.890Z,35.4992,-3.8211,10.0,4.2
2016-01-25T05:54:05.460Z,35.4764,-3.7734,10.0,5.1
2016-01-25T06:10:41.960Z,35.5051,-3.8783,10.0,5.2
2016-01-25T07:55:15.780Z,35.4917,-3.8394,10.0,4.2
2016-01-25T08:15:29.050Z,35.6955,-3.6741,10.0,4.1
2016-01-25T08:25:06.100Z,35.5453,-3.6703,10.0,4.7
2016-01-25T11:29:23.070Z,35.4901,-3.7475,21.43,4.4
2016-01-25T14:52:42.740Z,35.739,-3.5856,10.0,4.9
2016-01-25T16:02:43.560Z,35.5363,-3.7839,10.0,4.3
2016-01-25T18:17:33.430Z,35.5913,-3.7694,10.0,4.1
2016-01-26T01:16:45.990Z,35.4901,-3.9411,1.2,4.1
2016-01-26T04:35:59.240Z,35.5265,-3.6992,10.0,4.5
2016-01-26T13:03:01.700Z,38.3118,22.0771,4.78,4.3
2016-01-27T06:32:07.970Z,35.6728,-3.568,10.0,4.9
2016-01-27T21:57:49.590Z,35.5796,-3.7851,10.0,4.3
2016-01-28T19:48:51.250Z,35.452,-3.821,10.0,4.5
2016-01-29T01:16:20.570Z,35.4263,-3.8032,10.0,4.1
2016-01-31T00:50:55.700Z,36.5775,25.6662,11.5,4.1
2016-01-31T06:15:31.360Z,38.4368,26.7437,17.0,3.6
2016-01-31T16:25:27.440Z,36.5911,-3.0498,10.0,4.9
2016-01-31T23:47:11.160Z,37.7052,21.9785,10.0,4.0
