time,latitude,longitude,depth,mag
2018-08-02T06:56:53.520Z,36.8632,21.395,10.0,4.5
2018-08-02T14:17:38.610Z,41.6845,23.5924,13.05,4.2
2018-08-04T07:09:30.150Z,37.4194,36.3668,10.0,4.2
2018-08-06T05:19:01.820Z,35.3593,31.3729,40.88,4.3
2018-08-06T20:49:11.460Z,43.0324,0.2837,10.0,3.5
2018-08-07T13:57:09.830Z,74.6458,8.4549,10.0,5.7
2018-08-07T16:30:07.810Z,74.7749,8.2337,10.0,4.3
2018-08-07T16:55:48.780Z,74.6134,8.8941,10.0,4.6
2018-08-09T18:50:15.220Z,74.7219,9.9828,10.0,4.4
2018-08-11T03:30:39.570Z,46.2792,13.1132,8.25,4.2
2018-08-11T05:54:48.730Z,71.7969,-2.2532,10.0,5.2
2018-08-11T13:15:40.340Z,67.793,-18.9579,10.0,4.3
2018-08-11T13:39:59.700Z,67.7481,-18.2426,10.0,4.1
2018-08-11T15:38:33.550Z,41.5869,20.1018,10.0,5.1
2018-08-12T13:42:22.540Z,36.0311,31.3453,35.0,4.3
2018-08-13T14:40:03.940Z,38.2705,-1.0434,10.0,4.0
2018-08-14T21:48:32.130Z,41.8795,14.8045,10.0,4.6
2018-08-15T08:52:39.280Z,36.6071,27.1322,152.81,4.1
2018-08-15T20:06:31.250Z,44.2667,17.8604,10.0,3.5
2018-08-16T16:24:10.480Z,63.9288,-19.547,10.0,4.4
2018-08-16T18:19:05.400Z,41.8753,14.8084,11.59,5.3
2018-08-16T20:22:34.080Z,41.8374,14.7804,3.24,4.5
2018-08-17T01:25:11.700Z,48.914,18.1845,6.9,2.8
2018-08-18T03:26:51.000Z,38.4079,21.8091,10.0,4.2
2018-08-19T05:46:10.740Z,36.2423,25.7788,135.23,4.2
2018-08-19T06:29:11.820Z,39.5044,12.9024,490.62,4.4
2018-08-19T15:22:14.240Z,37.2897,36.364,10.0,5.1
2018-08-21T00:33:46.640Z,44.8565,10.6829,19.85,4.1
2018-08-22T10:07:05.400Z,38.2945,21.8053,10.0,4.3
2018-08-22T14:52:45.340Z,45.715,26.7377,132.62,4.0
2018-08-30T03:33:04.490Z,44.0338,16.5789,10.0,4.2
2018-08-30T22:34:47.620Z,55.9663,-4.7957,10.0,2.5
2018-08-31T07:12:25.340Z,39.3299,21.683,10.44,5.1
2018-08-31T08:26:23.140Z,39.2664,21.6774,10.0,4.4
2018-08-31T15:37:53.660Z,70.105,-15.2722,10.0,4.5
