time,latitude,longitude,depth,mag
2017-04-01T23:46:33.740Z,39.789,20.6552,14.25,4.1
2017-04-02T05:32:43.830Z,38.6021,27.5807,10.0,4.2
2017-04-05T15:43:29.360Z,38.3848,21.8137,10.0,4.8
2017-04-05T21:51:21.050Z,37.0603,20.9697,27.77,4.3
2017-04-07T04:43:58.580Z,40.0444,23.6915,10.0,4.3
2017-04-07T13:23:38.220Z,35.16,23.6458,18.4,4.5
2017-04-07T15:50:29.440Z,38.5324,23.4408,10.0,4.3
2017-04-08T09:52:33.500Z,44.2747,7.3356,4.02,2.9
2017-04-08T13:53:03.900Z,41.8152,19.9477,27.75,4.8
2017-04-08T22:23:12.940Z,51.5424,16.1653,8.42,4.6
2017-04-13T16:22:16.250Z,37.1253,28.6913,10.0,5.0
2017-04-15T23:55:23.390Z,36.2791,18.8455,5.27,4.1
2017-04-16T12:11:04.300Z,36.1603,27.5021,87.47,4.2
2017-04-17T11:58:44.180Z,64.6427,-17.8415,6.87,4.2
2017-04-20T14:11:25.390Z,39.4456,28.499,10.0,4.2
2017-04-21T13:09:22.060Z,38.7709,29.0638,10.0,5.0
2017-04-21T14:12:22.570Z,38.661,27.6692,10.0,4.9
2017-04-23T04:25:35.570Z,41.9674,15.8349,16.45,4.1
2017-04-24T14:45:12.930Z,37.8213,21.0566,10.0,4.4
2017-04-27T12:04:27.400Z,35.3977,21.4538,10.0,4.9
2017-04-27T17:09:52.040Z,35.2004,21.3701,10.0,4.4
2017-04-27T21:16:59.890Z,42.9438,13.0086,4.0,4.2
2017-04-27T21:19:43.860Z,42.9185,13.1097,4.0,4.1
2017-04-28T13:54:23.640Z,36.4951,26.9591,152.59,4.1
2017-04-29T10:56:03.280Z,43.1509,-14.5833,10.0,4.2
