time,latitude,longitude,depth,mag
2018-02-01T01:47:33.410Z,47.1899,9.9227,5.0,3.8
2018-02-02T15:44:51.400Z,73.0289,5.4866,10.0,4.4
2018-02-03T12:53:09.560Z,43.3681,16.8616,10.0,4.6
2018-02-04T13:15:04.430Z,45.5527,26.3872,150.35,3.5
2018-02-10T02:16:18.520Z,38.1985,15.8133,16.81,3.9
2018-02-11T13:05:23.950Z,42.6109,19.9218,8.08,4.4
2018-02-12T03:08:29.180Z,46.7094,-0.8249,5.0,4.1
2018-02-12T05:58:18.730Z,39.5756,20.5488,10.0,3.8
2018-02-14T18:27:06.970Z,36.4852,25.0076,110.77,4.1
2018-02-15T19:37:18.340Z,66.3632,-17.9499,10.0,4.2
2018-02-16T11:21:51.180Z,39.8252,15.4065,281.68,4.4
2018-02-17T05:33:01.560Z,40.4115,20.6193,10.0,4.3
2018-02-17T14:31:05.070Z,51.7231,-3.8559,11.55,4.3
2018-02-19T03:04:21.280Z,66.5103,-17.7433,10.0,4.2
2018-02-19T05:34:16.380Z,66.4105,-17.7437,10.0,4.8
2018-02-19T05:38:52.130Z,66.4975,-17.6816,10.0,4.9
2018-02-19T06:32:26.670Z,66.3979,-17.633,10.0,4.4
2018-02-19T06:40:17.100Z,66.4096,-17.7033,10.0,4.3
2018-02-19T08:32:08.280Z,66.5772,-17.7242,10.0,4.2
2018-02-20T03:52:54.470Z,39.3187,23.8725,13.6,4.3
2018-02-21T23:41:59.810Z,42.0486,24.8575,12.27,4.4
2018-02-21T23:44:56.360Z,37.8538,20.3633,20.08,5.0
2018-02-22T07:07:49.630Z,38.1756,21.5924,10.0,4.1
2018-02-22T23:15:05.400Z,41.9418,24.8139,10.0,4.0
2018-02-24T07:51:42.630Z,36.2537,22.0675,10.0,4.3
2018-02-25T15:21:15.480Z,38.5744,25.5872,12.89,4.5
2018-02-26T15:04:18.100Z,41.7352,19.6839,10.0,4.3
2018-02-28T21:37:24.880Z,35.5214,22.4355,35.0,4.4
