time,latitude,longitude,depth,mag
2016-02-01T22:34:47.480Z,71.8666,-1.4871,10.0,4.6
2016-02-01T23:50:48.860Z,35.4566,-3.8528,10.0,4.2
2016-02-02T06:56:19.690Z,71.6965,-2.4094,10.0,4.4
2016-02-02T14:21:18.370Z,38.7613,37.8137,10.0,4.2
2016-02-03T21:27:49.390Z,35.6091,-3.7462,10.0,4.0
2016-02-05T09:02:59.050Z,35.5909,-3.7731,10.0,4.4
2016-02-05T09:04:41.120Z,35.6181,-3.8796,10.0,4.3
2016-02-07T14:57:55.270Z,36.6186,-11.1349,14.87,4.7
2016-02-08T11:21:43.780Z,35.3652,-3.8782,8.47,4.2
2016-02-08T15:35:43.660Z,37.023,14.8791,10.0,4.5
2016-02-08T16:15:28.430Z,35.1622,23.6515,9.94,4.1
2016-02-09T18:31:29.290Z,35.171,23.6362,10.0,4.0
2016-02-10T01:12:16.390Z,36.5297,3.0859,11.12,4.7
2016-02-13T01:14:52.550Z,72.1654,0.4965,10.0,4.2
2016-02-14T14:51:29.550Z,43.0612,17.4307,10.0,4.4
2016-02-15T18:55:02.030Z,37.5665,21.7826,28.63,5.3
2016-02-18T04:16:07.290Z,35.6008,21.812,36.32,4.0
2016-02-18T04:34:17.220Z,35.0477,26.3149,48.94,4.3
2016-02-18T07:56:49.000Z,39.0192,35.8528,4.5,4.1
2016-02-22T03:46:02.460Z,35.7375,-3.5108,10.0,5.1
2016-02-22T04:14:30.100Z,35.7366,-3.5222,10.0,4.6
2016-02-23T08:46:01.010Z,35.6866,-3.6285,10.0,4.8
2016-02-23T10:12:32.860Z,35.6949,-3.5641,10.0,4.7
2016-02-24T14:41:40.700Z,36.07,23.85,46.0,4.1
2016-02-25T04:36:24.280Z,51.5045,16.2473,8.25,4.0
2016-02-26T18:32:16.330Z,37.0585,27.6185,3.8,3.8
2016-02-27T02:50:31.700Z,42.54,18.49,10.0,3.5
2016-02-28T11:03:17.630Z,35.5718,-3.5728,11.72,4.3
2016-02-28T11:17:19.480Z,41.4946,22.9195,10.0,4.4
2016-02-28T18:09:32.290Z,71.5167,-2.7994,10.0,4.3
2016-02-28T18:24:44.980Z,71.6403,-2.4465,10.0,4.7
