time,latitude,longitude,depth,mag
2018-06-05T08:52:39.470Z,36.5797,22.5932,10.0,4.9
2018-06-08T19:27:36.270Z,36.2705,22.7676,10.0,4.2
2018-06-09T22:14:25.670Z,53.7927,0.0603,10.0,4.1
2018-06-09T22:24:53.180Z,36.8397,27.5536,11.98,4.1
2018-06-10T15:44:18.350Z,36.4087,29.1954,10.0,4.3
2018-06-11T12:36:32.300Z,70.8507,-4.7403,16.35,4.4
2018-06-11T14:07:40.340Z,39.322,24.8611,10.0,4.4
2018-06-13T01:50:58.340Z,40.3231,19.6405,10.0,4.4
2018-06-14T15:04:52.860Z,64.7005,-17.5617,10.0,4.7
2018-06-17T07:47:33.060Z,37.1327,-4.2876,10.0,3.7
2018-06-18T22:48:00.890Z,43.3061,17.5823,7.46,3.4
2018-06-23T05:49:13.280Z,58.5175,13.4669,10.0,2.8
2018-06-24T00:39:30.770Z,37.4597,21.8523,16.29,4.3
2018-06-25T05:14:44.990Z,36.6404,21.3431,10.0,5.5
2018-06-25T08:21:56.110Z,40.6612,23.3138,10.0,4.1
2018-06-26T20:48:46.410Z,35.0112,23.1749,33.65,4.3
2018-06-27T01:00:49.270Z,38.7942,26.3935,10.0,4.4
2018-06-27T07:22:33.820Z,65.7281,22.9513,10.0,3.5
2018-06-27T12:28:23.700Z,51.154,-0.258,5.0,2.6
2018-06-28T17:35:25.840Z,35.509,-4.2068,10.0,2.8
2018-06-30T00:36:15.830Z,36.6802,21.4336,10.0,4.2
