time,latitude,longitude,depth,mag
2017-10-05T20:41:26.450Z,37.1693,28.0417,10.0,4.2
2017-10-08T01:49:38.620Z,45.7029,26.5819,140.61,4.0
2017-10-09T01:19:29.460Z,37.9639,22.9064,10.0,4.1
2017-10-09T09:09:11.740Z,38.2445,22.8003,10.0,4.2
2017-10-10T19:59:24.400Z,36.9339,27.3172,5.52,4.4
2017-10-11T22:49:44.820Z,39.1647,24.2379,11.54,5.1
2017-10-12T15:50:36.350Z,71.3983,-4.2531,10.0,4.5
2017-10-14T09:55:38.140Z,40.8425,21.2834,10.0,4.5
2017-10-16T02:09:33.860Z,36.273,1.524,10.0,4.0
2017-10-21T12:56:43.730Z,70.8284,-5.9518,10.0,5.3
2017-10-21T19:46:02.390Z,36.3993,22.1347,42.0,4.1
2017-10-23T01:17:35.300Z,37.7987,19.8291,14.43,4.5
2017-10-24T09:36:24.200Z,36.9614,27.3529,10.0,4.6
2017-10-25T22:46:01.110Z,43.7343,17.5472,10.0,4.1
2017-10-25T22:50:03.820Z,43.7523,17.5116,11.6,4.3
2017-10-25T22:58:10.870Z,43.7217,17.5267,5.95,4.0
2017-10-26T23:26:35.610Z,64.6666,-17.5717,10.0,4.6
2017-10-27T00:16:43.150Z,64.611,-17.8511,10.0,4.6
2017-10-28T13:56:45.250Z,45.5502,26.4253,127.19,4.2
2017-10-29T07:29:26.950Z,37.2923,21.022,22.49,4.4
2017-10-31T01:17:19.370Z,70.7903,-14.5273,10.0,4.3
