time,latitude,longitude,depth,mag
2017-01-02T03:36:14.480Z,42.7941,12.7351,10.0,4.3
2017-01-02T13:50:48.440Z,36.2225,21.9099,10.0,4.4
2017-01-03T22:02:33.970Z,43.1472,25.8179,20.57,4.2
2017-01-05T14:05:03.600Z,36.4352,26.8017,132.1,4.4
2017-01-09T09:53:17.600Z,38.4167,21.7834,10.0,4.8
2017-01-10T12:44:53.160Z,38.433,21.7132,10.0,4.5
2017-01-13T12:12:05.620Z,37.1471,22.1895,10.0,4.5
2017-01-13T21:43:31.880Z,35.5523,32.3981,75.5,4.4
2017-01-14T22:38:59.370Z,39.5702,26.1046,3.38,4.4
2017-01-15T03:37:19.660Z,35.1161,23.1649,10.0,4.4
2017-01-15T04:03:21.330Z,39.5607,26.1037,10.59,4.3
2017-01-18T09:25:41.610Z,42.6598,13.2099,10.0,5.3
2017-01-18T10:14:10.980Z,42.6012,13.2268,7.0,5.7
2017-01-18T10:15:33.030Z,42.583,13.3175,10.0,4.7
2017-01-18T10:16:37.770Z,42.5275,13.2341,10.0,4.6
2017-01-18T10:24:16.170Z,42.6241,13.2034,10.0,4.3
2017-01-18T10:25:25.490Z,42.5855,13.1904,10.0,5.6
2017-01-18T10:39:24.740Z,42.5493,13.2266,10.0,4.3
2017-01-18T11:07:39.100Z,42.759,13.2089,10.0,4.1
2017-01-18T12:01:41.010Z,42.6587,13.2117,10.0,4.1
2017-01-18T13:33:38.000Z,42.5581,13.2487,7.39,5.2
2017-01-18T15:16:10.730Z,42.5921,13.2915,10.0,4.3
2017-01-18T19:32:33.500Z,42.6614,13.1941,10.0,4.2
2017-01-21T09:35:57.240Z,42.7079,13.1276,10.0,4.1
2017-01-22T09:22:19.510Z,35.4986,23.9863,10.0,2.8
2017-01-24T10:00:04.280Z,37.1552,21.107,21.8,4.4
2017-01-25T01:19:33.630Z,36.7648,27.6614,11.45,4.0
2017-01-25T18:50:51.790Z,35.3583,26.4196,56.63,5.2
2017-01-26T15:14:42.390Z,63.6357,-19.1589,10.0,4.5
2017-01-27T17:07:56.090Z,40.8327,19.8572,5.0,4.5
2017-01-27T20:51:26.740Z,36.0062,28.7487,20.41,4.8
2017-01-28T17:32:36.930Z,68.2403,-17.9397,10.93,4.6
2017-01-28T18:30:12.720Z,68.2369,-18.6584,10.0,4.0
2017-01-28T21:45:50.640Z,38.6758,20.5125,26.29,4.0
2017-01-29T08:55:26.080Z,36.1694,4.4969,10.0,4.6
2017-01-29T13:11:55.170Z,36.3114,22.0023,30.58,4.5
