time,latitude,longitude,depth,mag
2016-12-01T05:36:25.720Z,35.4334,22.5464,35.62,4.3
2016-12-02T11:46:01.850Z,36.4826,21.5733,8.71,4.5
2016-12-03T04:08:35.760Z,38.582,14.2741,3.0,4.5
2016-12-03T08:35:56.040Z,35.8513,27.3069,10.0,4.4
2016-12-03T09:01:43.000Z,47.06,5.43,2.0,4.1
2016-12-03T21:04:36.020Z,38.1116,22.0282,18.26,4.5
2016-12-06T17:14:40.760Z,38.5012,23.5268,10.0,4.0
2016-12-09T07:21:50.550Z,44.3361,10.5902,10.0,4.2
2016-12-09T12:57:01.640Z,43.4883,16.2668,22.52,4.4
2016-12-11T12:54:52.900Z,42.9,13.11,8.0,4.2
2016-12-11T21:27:23.000Z,48.49,-4.46,2.0,3.9
2016-12-15T16:44:00.370Z,37.0424,28.6869,23.11,4.2
2016-12-16T06:46:51.240Z,51.5789,16.164,5.0,4.5
2016-12-16T21:21:51.890Z,39.5427,39.7081,13.11,4.4
2016-12-17T10:39:36.090Z,40.0157,19.9958,10.0,4.3
2016-12-17T19:10:55.890Z,39.0301,21.6428,82.53,4.0
2016-12-20T06:03:44.240Z,36.5393,26.9187,129.94,5.4
2016-12-23T23:39:25.220Z,42.5151,18.5116,13.94,4.3
2016-12-27T19:31:04.540Z,36.6161,22.9747,10.37,4.8
2016-12-27T23:20:56.100Z,45.7144,26.5283,97.0,5.6
2016-12-29T20:23:54.970Z,35.494,21.9432,10.0,4.3
2016-12-30T01:56:25.380Z,40.9443,24.6776,10.0,4.0
